"販売店ASAコード","販売店名","契約状況","店コード","区域","順路","枝番","読者No","氏名１","氏名２","フリガナ１","フリガナ２","郵便番号","住所１","住所２","住所３","住所４（建物名）","住所５（部屋番号）","住所６（通称）","住所７（方書）","電話番号１","電話番号２","メールアドレス１","メールアドレス２","生年月日","性別","職業","支払い方法","銘柄コード","本社銘柄コード","銘柄","現区分","契約開始","現入り日","契約日","契約終了","契約期間（開始）","契約期間（終了）","現入コード","現入理由","現契約区分","販促品名１","販促品名２","販促品名３"
"1935200",,"現",,"4","150","0","25","●●●●●",,"●●●●●●●●●",,"4640056","名古屋市千種区","月見坂町","1-14(２階)",,,,,"●●●●●●●●●●","●●●●●●●●●●●",,,,,,"自振","000100","1","セット","現読","19970901","19970901","19970901",,"19970901",,"1","新規","新勧",,,
"1935200",,"現",,"6","48","0","36","●●●●●",,"●●●●●●●●",,"4640052","名古屋市千種区","田代町四観音道西","21-20",,,,,"●●●●●●●●●●",,,,,,,"自振","000201","3","朝刊単","現読","20140401","20140401","20140401",,"20140401",,"11","銘柄変更","固定継続",,,
"1935200",,"現",,"6","49","0","40","●●●●●",,"●●●●●●●●",,"4640052","名古屋市千種区","田代町四観音道西","21-20",,,,,"●●●●●●●●●●",,,,,,,"自振","000201","3","朝刊単","現読","20020401","20020401","20020401",,"20020401",,"1","新規","新勧",,,
"1935200",,"現",,"6","67","0","45","●●●●●",,"●●●●●●●",,"4640052","名古屋市千種区","田代町四観音道西","21-21",,,,,"●●●●●●●●●●",,,,,,,"自振","000201","3","朝刊単","現読","20200213","20200213","20200212",,"20200213","20210228","2","起し","起し",,,
"1935200",,"現",,"4","84","0","50","●●●●●",,"●●●●●●●●●",,"4640063","名古屋市千種区","西山元町","1-48",,,,,"●●●●●●●●●●",,,,,,,"集金","000100","1","セット","現読","19970901","19970901","19970901",,"19970901",,"1","新規","新勧",,,
"1935200",,"現",,"4","19","0","56","●●●●●",,"●●●●●●●",,"4640057","名古屋市千種区","法王町","2-11",,,,,"●●●●●●●●●●",,,,,,,"自振","000100","1","セット","現読","19970901","19970901","19970901",,"19970901",,"1","新規","新勧",,,
"1935200",,"現",,"4","20","0","59","●●●●●",,"●●●●●●●",,"4640064","名古屋市千種区","山門町","1-65",,,,,,,,,,,,"集金","000100","1","セット","現読","19970901","19970901","19970901",,"19970901",,"1","新規","新勧",,,
"1935200",,"現",,"4","23","0","61","●●●●",,"●●●●●●●",,"4640057","名古屋市千種区","法王町","2-11-2",,,,,"●●●●●●●●●●",,,,,,,"自振","000100","1","セット","現読","19970601","19970601","19970601",,"19970601",,"1","新規","新勧",,,
"1935200",,"現",,"4","22","0","63","●●●●●",,"●●●●●●●●",,"4640057","名古屋市千種区カ?キ?ク?ケ?コ?","法王町","2-11-2",,,,,"●●●●●●●●●●","●●●●●●●●●●●",,,,,,"自振","000201","3","朝刊単","現読","20180101","20180101","20180101",,"20180101",,"11","銘柄変更","固定継続",,,
"1935200",,"現",,"4","78","0","66","●●●●●",,"●●●●●●●",,"4640064","名古屋市千種区","山門町","1-31",,,,,"●●●●●●●●●●",,,,,,,"集金","000201","3","朝刊単","現読","20011001","20011001","20011001",,"20011001",,"1","新規","新勧",,,
